Date,w,c,r_ind,R_ind,sigma_hat_risky,sigma_hat_index,kappa,kappa_lev,error,ma_long,ma_short
2000-06-06,1.0,0.0,-0.005103147242335848,0.9948968527576642,0.005103147242335848,0.005103147242335848,0.0,0.0,0.0,0.0,0.0
2000-06-07,1.0,0.0,0.006625285907223777,1.0014883288553809,0.005915472477391325,0.005915472477391325,0.0,0.0,0.0,0.0,0.0
2000-06-08,1.0,0.0,-0.003609610573782618,0.9978733459940246,0.005256550914081976,0.005256550914081976,0.0,0.0,0.0,0.0,0.0
2000-06-09,1.0,0.0,-0.0036219453511417976,0.9942591032674731,0.004896235687212339,0.004896235687212339,0.0,0.0,0.0,0.0,0.0
2000-06-12,1.0,0.0,-0.008661853156680221,0.9856469769152777,0.005856337672992812,0.005856337672992812,0.0,0.0,0.0,0.0,0.0
2000-06-13,1.0,0.0,0.013051780017629744,0.9985114244330177,0.0075686895695765595,0.0075686895695765595,0.0,0.0,0.0,0.0,0.0
2000-06-14,1.0,0.0,0.006175667192616308,1.0046778986783411,0.007382719330831064,0.007382719330831064,0.0,0.0,0.0,0.0,0.0
2000-06-15,1.0,0.0,0.0,1.0046778986783411,0.0068963452581608945,0.0068963452581608945,0.0,0.0,0.0,0.0,0.0
2000-06-16,1.0,0.0,-0.004021501486064727,1.0006375850157898,0.006632864439867525,0.006632864439867525,0.0,0.0,0.0,0.0,0.0
2000-06-19,1.0,0.0,0.009880914223723503,1.0105247991623647,0.007035083528440059,0.007035083528440059,0.0,0.0,0.0,0.0,0.0
2000-06-20,1.0,0.0,-0.005470653799403813,1.0049965678304353,0.006903948113287372,0.006903948113287372,0.0,0.0,0.0,0.0,0.0
2000-06-21,1.0,0.0,0.0018656043166085379,1.0068714937655565,0.006623448907531026,0.006623448907531026,0.0,0.0,0.0,0.0,0.0
2000-06-22,1.0,0.0,-0.016380441416117497,0.9903784942483711,0.007855633129791366,0.007855633129791366,0.0,0.0,0.0,0.0,0.0
2000-06-23,1.0,0.0,-0.007197488987332856,0.9832502559427272,0.007808824411087576,0.007808824411087576,0.0,0.0,0.0,0.0,0.0
2000-06-26,1.0,0.0,0.011578191896118861,0.9946345160879401,0.00812646032190938,0.00812646032190938,0.0,0.0,0.0,0.0,0.0
2000-06-27,1.0,0.0,-0.005562517740204109,0.9891018439471816,0.00798461545749512,0.00798461545749512,0.0,0.0,0.0,0.0,0.0
2000-06-28,1.0,0.0,0.004626176872757348,0.9936776040224516,0.007819949574690191,0.007819949574690191,0.0,0.0,0.0,0.0,0.0
