,VTE,Annualized_Return,Annualized_Volatility,Sharpe_Ratio,Maximum_Drawdown,CAGR
IVV,5.1567290037265,8.578017773413531,19.121856820782654,0.44859753180927936,55.250035672645225,6.977923724010782
Algorithm_1,2.332041671861008,7.018294060832653,15.084958606760605,0.4652511315269552,38.7504416244177,6.052233278975239
Algorithm_2,0.365779570111249,8.868674745538074,14.819265356496663,0.5984557622925694,39.46893642512465,8.075455800467868
Algorithm_3,0.5000580692094951,9.443426718558838,14.688197177690865,0.6429261947069967,33.59404089168777,8.719434392995096
