w,c,r_ind,R_ind,sigma_hat_risky,sigma_hat_ind,kappa,e,kappa_lev,MA_long,MA_short
[0.45630269],[0.54369731],[-0.00256306],[0.98695883],[0.00813389],[0.01047365],[-0.93448082],[0.10294156],0.0,[0.98695883],[0.98695883]
[0.45165727],[0.54834273],[0.00220888],[0.9891389],[0.0079527],[0.0101426],[-0.96724041],[0.07082394],0.0,[0.9891389],[0.9891389]
[0.42738978],[0.57261022],[-0.00536193],[0.9838352],[0.00826773],[0.00991553],[-0.98362021],[0.0481816],0.0,[0.9838352],[0.9838352]
[0.42095179],[0.57904821],[0.00404686],[0.98781665],[0.0083257],[0.0096721],[-0.9918101],[0.02332474],0.0,[0.98781665],[0.98781665]
[0.63645543],[0.36354457],[0.00490525],[0.99266214],[0.00852347],[0.00947145],[-0.55493785],[0.00236131],0.0,[0.99266214],[0.99266214]
[0.83234076],[0.16765924],[-0.00878813],[0.98393849],[0.00888901],[0.0094367],[-0.24461857],[-0.00131401],0.0,[0.98393849],[0.98393849]
1.5,-0.5,[0.00415361],[0.98802539],[0.00873357],[0.00924343],[0.37769071],[-0.02200753],0.0,[0.98802539],[0.98802539]
[0.75924376],[0.24075624],[0.02209291],[1.00985374],[0.00911753],[0.01023817],[-0.31115464],[0.08020191],0.0,[1.00985374],[1.00985374]
[0.55042983],[0.44957017],[-0.00123929],[1.00860225],[0.008912],[0.01000262],[-0.65557732],[0.05692678],0.0,[1.00860225],[1.00860225]
[0.47198829],[0.52801171],[0.0021757],[1.01079667],[0.00874895],[0.009789],[-0.82778866],[0.03533883],0.0,[1.01079667],[1.01079667]
[0.49484192],[0.50515808],[0.00267989],[1.01350549],[0.00863469],[0.00959374],[-0.79364956],[0.01519021],0.0,[1.01350549],[1.01350549]
[0.85123363],[0.14876637],[0.00175065],[1.01527978],[0.00848244],[0.00940092],[-0.26899178],[-0.00511332],0.0,[1.01527978],[1.01527978]
[1.27188063],[-0.27188063],[0.0079402],[1.02334131],[0.00851627],[0.00934722],[0.13655396],[-0.01084199],0.0,[1.02334131],[1.02334131]
1.5,-0.5,[-0.00083954],[1.02248217],[0.00835191],[0.00916733],[0.56827698],[-0.03027459],0.0,[1.02248217],[1.02248217]
1.5,-0.5,[-0.01080733],[1.01143186],[0.00831015],[0.00923356],[0.78413849],[-0.02307566],0.0,[1.01143186],[1.01143186]
1.5,-0.5,[-0.01416998],[0.9970999],[0.00835139],[0.00945646],[0.37262283],[0.00077786],0.0,[0.9970999],[0.9970999]
[0.80398462],[0.19601538],[0.02028217],[1.01732325],[0.00858836],[0.01003442],[-0.31368858],[0.06010057],0.0,[1.01732325],[1.01732325]
[0.54027607],[0.45972393],[-0.01441237],[1.00266121],[0.009068],[0.01021407],[-0.65684429],[0.07784533],0.0,[1.00266121],[1.00266121]
[0.45732543],[0.54267457],[-0.00403127],[0.99861921],[0.00902374],[0.01007058],[-0.82842215],[0.06369793],0.0,[0.99861921],[0.99861921]
[0.42389324],[0.57610676],[0.00268075],[1.00129626],[0.00893506],[0.00991898],[-0.91421107],[0.04852984],0.0,[1.00129626],[1.00129626]
[0.40504849],[0.59495151],[-0.00398452],[0.99730658],[0.00895815],[0.00978784],[-0.95710554],[0.03521959],0.0,[0.99730658],[0.99730658]
[0.40127936],[0.59872064],[-0.00158286],[0.99572798],[0.00885042],[0.00964121],[-0.97855277],[0.02012581],0.0,[0.99572798],[0.99572798]
[0.39678883],[0.60321117],[-0.00864736],[0.98711757],[0.00949604],[0.00961309],[-0.91939691],[0.01720482],0.0,[0.98711757],[0.98711757]
[0.58657081],[0.41342919],[0.00211659],[0.98920689],[0.00939655],[0.00947915],[-0.53904018],[0.00317367],0.0,[0.98920689],[0.98920689]
[0.9342956],[0.0657044],[0.00469163],[0.99384788],[0.00935664],[0.00937692],[-0.07779717],[-0.00766892],0.0,[0.99384788],[0.99384788]
1.5,-0.5,[0.00193692],[0.99577288],[0.00923217],[0.00925142],[0.46110142],[-0.02114378],0.0,[0.99577288],[0.99577288]
1.5,-0.5,[0.01046315],[1.0061918],[0.00917943],[0.00928643],[0.66471226],[-0.01736646],0.0,[1.0061918],[1.0061918]
1.5,-0.5,[0.00893938],[1.01518653],[0.00910959],[0.00927737],[0.7909227],[-0.01834266],0.0,[1.01518653],[1.01518653]
[0.91818763],[0.08181237],[0.02090355],[1.03640753],[0.00926956],[0.00975745],[-0.10453865],[0.03211019],0.0,[1.03640753],[1.03640753]
[0.59993611],[0.40006389],[0.00175557],[1.03822701],[0.00915553],[0.00963623],[-0.54249459],[0.01960901],0.0,[1.03822701],[1.03822701]
[0.64658859],[0.35341141],[-0.00301934],[1.03509225],[0.00907695],[0.00952691],[-0.47622792],[0.00819923],0.0,[1.03509225],[1.03509225]
[0.80400462],[0.19599538],[-0.00601887],[1.02886217],[0.00908521],[0.00945641],[-0.25742367],[0.00077239],0.0,[1.02886217],[1.02886217]
[1.12659966],[-0.12659966],[0.00492594],[1.03393028],[0.00902465],[0.00937309],[0.07324326],[-0.0080782],0.0,[1.03393028],[1.03393028]
[0.74272285],[0.25727715],[0.01610861],[1.05058546],[0.00918509],[0.00958708],[-0.32577102],[0.01449571],0.0,[1.05058546],[1.05058546]
[0.81537922],[0.18462078],[-0.00189447],[1.04859516],[0.00908658],[0.00947953],[-0.24322464],[0.00321357],0.0,[1.04859516],[1.04859516]
[1.02911746],[-0.02911746],[-0.00560909],[1.04271349],[0.00904293],[0.00940899],[-0.01523553],[-0.00425507],0.0,[1.04271349],[1.04271349]
[0.86017234],[0.13982766],[0.01335878],[1.05664287],[0.00915],[0.00951555],[-0.18278958],[0.00700687],0.0,[1.05664287],[1.05664287]
[1.04727359],[-0.04727359],[-0.00167797],[1.05486985],[0.00905332],[0.00941335],[0.00340151],[-0.00379185],0.0,[1.05486985],[1.05486985]
1.5,-0.5,[-0.00132097],[1.0534764],[0.00895649],[0.00931272],[0.36517763],[-0.01453908],0.0,[1.0534764],[1.0534764]
1.5,-0.5,[0.00994786],[1.06395624],[0.00891416],[0.00932673],[0.50848508],[-0.01303585],0.0,[1.06395624],[1.06395624]
1.5,-0.5,[0.00380404],[1.06800358],[0.00882803],[0.00924468],[0.75424254],[-0.0218722],0.0,[1.06800358],[1.06800358]
1.5,-0.5,[0.00239549],[1.07056197],[0.00873947],[0.00915503],[0.87712127],[-0.03161778],0.0,[1.07056197],[1.07056197]
1.5,-0.5,[0.0006853],[1.07129563],[0.00865026],[0.00906178],[0.93856064],[-0.0418557],0.0,[1.07129563],[1.07129563]
1.5,-0.5,[0.00611056],[1.07784185],[0.00858299],[0.00901202],[0.96928032],[-0.04736133],0.0,[1.07784185],[1.07784185]
1.5,-0.5,[-0.00117147],[1.07657919],[0.00849822],[0.00892391],[0.98464016],[-0.0571869],0.0,[1.07657919],[1.07657919]
1.5,-0.5,[-0.01260643],[1.06300737],[0.00849524],[0.00901018],[0.99232008],[-0.04756568],0.0,[1.06300737],[1.06300737]
1.5,-0.5,[0.01845049],[1.08262038],[0.0085861],[0.0092829],[0.93982471],[-0.01774659],0.0,[1.08262038],[1.08262038]
1.5,-0.5,[0.00021722],[1.08285554],[0.00850426],[0.00919442],[0.96991236],[-0.02732424],0.0,[1.08285554],[1.08285554]
1.5,-0.5,[-0.00932521],[1.07275768],[0.00846626],[0.00919688],[0.98495618],[-0.02705596],0.0,[1.07275768],[1.07275768]
1.5,-0.5,[-0.01495573],[1.0567138],[0.00849517],[0.00933562],[0.79455381],[-0.01208303],0.0,[1.0567138],[1.0567138]
1.5,-0.5,[0.01070004],[1.06802068],[0.00847321],[0.0093623],[0.6280077],[-0.00922923],0.0,[1.06802068],[1.06802068]
1.5,-0.5,[-0.01033864],[1.0569788],[0.00844646],[0.0093808],[0.49540641],[-0.0072561],0.0,[1.0569788],[1.0569788]
1.5,-0.5,[-0.0038424],[1.05291747],[0.00837762],[0.00931107],[0.61561428],[-0.01471644],0.0,[1.05291747],[1.05291747]
1.5,-0.5,[-0.01043473],[1.04193056],[0.00835385],[0.00933199],[0.61960815],[-0.01247204],0.0,[1.04193056],[1.04193056]
1.5,-0.5,[0.00306663],[1.04512578],[0.00828563],[0.00925942],[0.80980408],[-0.02027941],0.0,[1.04512578],[1.04512578]
1.5,-0.5,[-0.00387034],[1.04108079],[0.00822084],[0.0091936],[0.90490204],[-0.02741312],0.0,[1.04108079],[1.04108079]
1.5,-0.5,[-0.01809055],[1.02224707],[0.00829932],[0.00941493],[0.54304545],[-0.00362378],0.0,[1.02224707],[1.02224707]
[1.01739342],[-0.01739342],[-0.0170302],[1.00483799],[0.0083584],[0.00959266],[-0.10540975],[0.0150773],0.0,[1.00483799],[1.00483799]
[0.73955335],[0.26044665],[0.00942532],[1.01430891],[0.00837428],[0.00958991],[-0.42246451],[0.01479039],0.0,[1.01430891],[1.01430891]
[0.72729615],[0.27270385],[-0.00543286],[1.00879831],[0.00835935],[0.00953634],[-0.44096108],[0.00918915],0.0,[1.00879831],[1.00879831]
[0.89041825],[0.10958175],[-0.00065599],[1.00813655],[0.00829217],[0.00945902],[-0.24667298],[0.0010477],0.0,[1.00813655],[1.00813655]
[1.19259615],[-0.19259615],[0.00251658],[1.0106736],[0.008233],[0.00938819],[0.03836287],[-0.00646797],0.0,[1.0106736],[1.0106736]
[1.2871617],[-0.2871617],[-0.010811],[0.99974721],[0.00824637],[0.00941248],[0.11629185],[-0.00388442],0.0,[0.99974721],[0.99974721]
[1.19530849],[-0.19530849],[-0.01178838],[0.98796181],[0.00826079],[0.00945446],[0.04400368],[0.00056569],0.0,[0.98796181],[0.98796181]
[1.41242605],[-0.41242605],[0.00061904],[0.9885734],[0.00819653],[0.00938091],[0.20309943],[-0.0072439],0.0,[0.9885734],[0.9885734]
[0.73482248],[0.26517752],[0.03286536],[1.02106322],[0.00863304],[0.01016314],[-0.39845028],[0.07284704],0.0,[1.02106322],[1.02106322]
[0.53421406],[0.46578594],[-0.01166628],[1.00915121],[0.00879035],[0.01018774],[-0.69922514],[0.07526471],0.0,[1.00915121],[1.00915121]
[0.46307083],[0.53692917],[0.00072523],[1.00988308],[0.00872492],[0.01011087],[-0.84961257],[0.06769082],0.0,[1.00988308],[1.00988308]
[0.42834635],[0.57165365],[-0.00463105],[1.00520626],[0.00874898],[0.01005091],[-0.92480629],[0.06174235],0.0,[1.00520626],[1.00520626]
[0.41244333],[0.58755667],[0.00391028],[1.00913689],[0.00875105],[0.00998748],[-0.96240314],[0.05541162],0.0,[1.00913689],[1.00913689]
[0.407056],[0.592944],[0.0018563],[1.01101015],[0.00870175],[0.00991641],[-0.98120157],[0.04827035],0.0,[1.01101015],[1.01101015]
[0.38799233],[0.61200767],[-0.00893114],[1.00198068],[0.00904389],[0.00990277],[-0.99060079],[0.0468942],0.0,[1.00198068],[1.00198068]
[0.38800905],[0.61199095],[-0.00195318],[1.00002363],[0.0090011],[0.0098339],[-0.99530039],[0.03991441],0.0,[1.00002363],[1.00002363]
[0.38063086],[0.61936914],[-0.00632564],[0.99369784],[0.00915404],[0.0097926],[-0.9976502],[0.03570639],0.0,[0.99369784],[0.99369784]
[0.38023995],[0.61976005],[-0.00333675],[0.99038212],[0.0091527],[0.00973108],[-0.9988251],[0.02940396],0.0,[0.99038212],[0.99038212]
[0.36462281],[0.63537719],[-0.0091861],[0.98128438],[0.00953911],[0.00972363],[-0.99941255],[0.0286386],0.0,[0.98128438],[0.98128438]
[0.34419601],[0.65580399],[0.01096142],[0.99204065],[0.01010225],[0.00974196],[-0.99970627],[0.03052114],0.0,[0.99204065],[0.99204065]
[0.34595317],[0.65404683],[0.00184258],[0.99386857],[0.01004947],[0.00967686],[-0.99985314],[0.02381689],0.0,[0.99386857],[0.99386857]
[0.33710259],[0.66289741],[-0.00755677],[0.98635813],[0.01031256],[0.00965097],[-0.99992657],[0.02113718],0.0,[0.98635813],[0.98635813]
[0.39118273],[0.60881727],[-0.00046491],[0.98589957],[0.01024425],[0.00958533],[-0.85778432],[0.01431284],0.0,[0.98589957],[0.98589957]
[0.34493711],[0.65506289],[0.012946],[0.99866303],[0.01086467],[0.00963842],[-0.92479722],[0.0198362],0.0,[0.99866303],[0.99866303]
[0.39099065],[0.60900935],[0.00267395],[1.0013334],[0.01082575],[0.00957875],[-0.8030651],[0.01362666],0.0,[1.0013334],[1.0013334]
[0.49231384],[0.50768616],[0.00137397],[1.0027092],[0.01076014],[0.00951632],[-0.57871147],[0.00708716],0.0,[1.0027092],[1.0027092]
[0.63550137],[0.36449863],[-0.00373653],[0.99896255],[0.01072624],[0.00946319],[-0.32656853],[0.00148851],0.0,[0.99896255],[0.99896255]
[0.59732391],[0.40267609],[-0.01352191],[0.98545467],[0.0109326],[0.00952736],[-0.36946736],[0.00824732],0.0,[0.98545467],[0.98545467]
[0.69150807],[0.30849193],[0.00096132],[0.98640202],[0.01086281],[0.00946603],[-0.22945585],[0.00178889],0.0,[0.98640202],[0.98640202]
[0.65245471],[0.34754529],[0.01245674],[0.99868937],[0.01098276],[0.0095105],[-0.27660783],[0.0064752],0.0,[0.99868937],[0.99868937]
[0.71753803],[0.28246197],[0.00504166],[1.00372442],[0.0109464],[0.00946672],[-0.18483948],[0.00186142],0.0,[1.00372442],[1.00372442]
[0.59851328],[0.40148672],[0.01451452],[1.018293],[0.0111111],[0.00954746],[-0.35128245],[0.01035451],0.0,[1.018293],[1.018293]
[0.64060756],[0.35939244],[-0.00267027],[1.01557388],[0.0110529],[0.00949189],[-0.28856574],[0.00451698],0.0,[1.01557388],[1.01557388]
[0.77327633],[0.22672367],[0.00189182],[1.01749517],[0.01098821],[0.00943473],[-0.10621627],[-0.00152266],0.0,[1.01749517],[1.01749517]
[0.9964789],[0.0035211],[-4.39242956e-05],[1.01745047],[0.01091979],[0.00937598],[0.1411289],[-0.00776948],0.0,[1.01745047],[1.01745047]
[1.19182582],[-0.19182582],[0.00762899],[1.0252126],[0.0108855],[0.00935643],[0.31699751],[-0.00985732],0.0,[1.0252126],[1.0252126]
1.5,-0.5,[-0.0010688],[1.02411685],[0.01081907],[0.00929971],[0.55694103],[-0.01593769],0.0,[1.02411685],[1.02411685]
[0.68775322],[0.31224678],[-0.03218947],[0.99115108],[0.01100904],[0.00990137],[-0.22152948],[0.04675212],0.0,[0.99115108],[0.99115108]
[0.46799809],[0.53200191],[-0.00406548],[0.98712157],[0.01096214],[0.0098515],[-0.61076474],[0.04170336],0.0,[0.98712157],[0.98712157]
[0.37805546],[0.62194454],[-0.01040901],[0.97684662],[0.01117024],[0.00985838],[-0.80538237],[0.04240145],0.0,[0.97684662],[0.97684662]
[0.34327484],[0.65672516],[-0.00381686],[0.97311813],[0.01116131],[0.00980828],[-0.90269119],[0.03730601],0.0,[0.97311813],[0.97311813]
[0.31958857],[0.68041143],[0.0086385],[0.98152441],[0.0114192],[0.00979523],[-0.95134559],[0.03597516],0.0,[0.98152441],[0.98152441]
[0.31340902],[0.68659098],[0.00170877],[0.98320161],[0.0113645],[0.00973916],[-0.9756728],[0.03023364],0.0,[0.98320161],[0.98320161]
[0.30897994],[0.69102006],[-0.00402014],[0.97924901],[0.01138804],[0.00969177],[-0.9878364],[0.02535581],0.0,[0.97924901],[0.97924901]
[0.31067932],[0.68932068],[-0.00177063],[0.97751512],[0.01134092],[0.00963714],[-0.98649696],[0.01970315],0.0,[0.97751512],[0.97751512]
[0.34571282],[0.65428718],[-0.00466852],[0.97295158],[0.01139655],[0.00959441],[-0.87475673],[0.01526033],0.0,[0.97295158],[0.97295158]
[0.41933755],[0.58066245],[0.00260591],[0.975487],[0.01135712],[0.00954323],[-0.68515512],[0.00991107],0.0,[0.975487],[0.975487]
[0.44276197],[0.55723803],[-0.0101874],[0.96554933],[0.01159278],[0.00955083],[-0.61026099],[0.01070734],0.0,[0.96554933],[0.96554933]
[0.47800232],[0.52199768],[0.00784216],[0.97312132],[0.01167638],[0.00953315],[-0.52649271],[0.00885449],0.0,[0.97312132],[0.97312132]
[0.56153992],[0.43846008],[0.00403539],[0.97704825],[0.01164329],[0.00948889],[-0.36826298],[0.00420066],0.0,[0.97704825],[0.97704825]
[0.64380502],[0.35619498],[-0.00722912],[0.96998505],[0.01165957],[0.00946652],[-0.23015318],[0.00184087],0.0,[0.96998505],[0.96998505]
[0.79642697],[0.20357303],[-0.0011378],[0.9688814],[0.01159601],[0.00941433],[-0.02287926],[-0.00368789],0.0,[0.9688814],[0.9688814]
[0.92013086],[0.07986914],[-0.0079695],[0.9611599],[0.01158003],[0.00939952],[0.12012168],[-0.00526245],0.0,[0.9611599],[0.9611599]
[1.12923834],[-0.12923834],[-0.00259321],[0.95866741],[0.01151982],[0.00935149],[0.3196913],[-0.01038522],0.0,[0.95866741],[0.95866741]
[1.19366929],[-0.19366929],[0.01080846],[0.96902913],[0.01150042],[0.0093687],[0.37349484],[-0.00854597],0.0,[0.96902913],[0.96902913]
[0.57729734],[0.42270266],[0.04015079],[1.00793641],[0.01196596],[0.01021794],[-0.31325258],[0.07822437],0.0,[1.00793641],[1.00793641]
[0.40826468],[0.59173532],[-0.00857152],[0.99929687],[0.01200273],[0.0102015],[-0.65662629],[0.07661387],0.0,[0.99929687],[0.99929687]
[0.34386443],[0.65613557],[-0.00478514],[0.99451509],[0.01200251],[0.01015846],[-0.82831314],[0.07238593],0.0,[0.99451509],[0.99451509]
[0.31714896],[0.68285104],[0.00128083],[0.99578889],[0.01194303],[0.01010464],[-0.91415657],[0.06707396],0.0,[0.99578889],[0.99578889]
[0.29460076],[0.70539924],[0.01011119],[1.0058575],[0.01231695],[0.01010471],[-0.95707829],[0.06708089],0.0,[1.0058575],[1.0058575]
[0.2893581],[0.7106419],[-0.00199824],[1.00384756],[0.01227386],[0.01005299],[-0.97853914],[0.06194889],0.0,[1.00384756],[1.00384756]
[0.28663572],[0.71336428],[-0.00296567],[1.00087048],[0.01225819],[0.01000435],[-0.98926957],[0.05709914],0.0,[1.00087048],[1.00087048]
[0.28488428],[0.71511572],[-0.00363092],[0.9972364],[0.01226756],[0.00995856],[-0.99463479],[0.05251135],0.0,[0.9972364],[0.9972364]
[0.2798925],[0.7201075],[-0.00677872],[0.99047641],[0.01245289],[0.00993055],[-0.99731739],[0.04969496],0.0,[0.99047641],[0.99047641]
[0.27991196],[0.72008804],[0.00310688],[0.99355371],[0.01243534],[0.00988379],[-0.9986587],[0.04497512],0.0,[0.99355371],[0.99355371]
[0.27871936],[0.72128064],[-0.00440508],[0.98917702],[0.01248017],[0.00984266],[-0.99932935],[0.04080528],0.0,[0.98917702],[0.98917702]
[0.27282692],[0.72717308],[-0.0077763],[0.98148489],[0.01274544],[0.00982357],[-0.99966467],[0.03886363],0.0,[0.98148489],[0.98148489]
[0.27383056],[0.72616944],[0.00188575],[0.98333573],[0.0126966],[0.00977489],[-0.99983234],[0.03389627],0.0,[0.98333573],[0.98333573]
[0.2668884],[0.7331116],[0.00874612],[0.9919361],[0.01302576],[0.00976493],[-0.99991617],[0.03287672],0.0,[0.9919361],[0.9919361]
[0.26801115],[0.73198885],[0.00156509],[0.99348857],[0.01297065],[0.00971645],[-0.99995808],[0.02789918],0.0,[0.99348857],[0.99348857]
[0.26808937],[0.73191063],[0.00349993],[0.99696571],[0.0129666],[0.00967357],[-0.99997904],[0.02347642],0.0,[0.99696571],[0.99696571]
[0.280324],[0.719676],[-0.00014958],[0.99681658],[0.01290156],[0.00962474],[-0.96038174],[0.01841569],0.0,[0.99681658],[0.99681658]
[0.3165592],[0.6834408],[-0.00406362],[0.9927659],[0.01292292],[0.009585],[-0.83716304],[0.01427889],0.0,[0.9927659],[0.9927659]
[0.35876056],[0.64123944],[-0.00631239],[0.98649917],[0.01301786],[0.00955787],[-0.70469829],[0.01144467],0.0,[0.98649917],[0.98649917]
[0.29047596],[0.70952404],[0.01797295],[1.00422948],[0.01387108],[0.00967756],[-0.85234915],[0.0238886],0.0,[1.00422948],[1.00422948]
[0.27395378],[0.72604622],[-0.00317584],[1.0010402],[0.01384826],[0.00963475],[-0.9125567],[0.01945529],0.0,[1.0010402],[1.0010402]
[0.27290808],[0.72709192],[-0.0077985],[0.99323359],[0.01407514],[0.00961837],[-0.90013124],[0.01775412],0.0,[0.99323359],[0.99323359]
[0.31199889],[0.68800111],[0.00054816],[0.99377804],[0.01400681],[0.00957125],[-0.77113285],[0.01284269],0.0,[0.99377804],[0.99377804]
[0.37804406],[0.62195594],[0.00018883],[0.9939657],[0.01393828],[0.00952442],[-0.58402646],[0.0079384],0.0,[0.9939657],[0.9939657]
[0.45073043],[0.54926957],[0.00542356],[0.99935653],[0.01393956],[0.00949308],[-0.40807586],[0.00464251],0.0,[0.99935653],[0.99935653]
[0.55343852],[0.44656148],[0.00249743],[1.00185236],[0.01388185],[0.00945021],[-0.20694333],[0.00011622],0.0,[1.00185236],[1.00185236]
[0.69226264],[0.30773736],[-0.00136195],[1.00048789],[0.01381711],[0.00940549],[0.0121974],[-0.00462676],0.0,[1.00048789],[1.00048789]
[0.86511552],[0.13488448],[0.0029182],[1.00340751],[0.0137566],[0.0093646],[0.23070586],[-0.00898429],0.0,[1.00340751],[1.00340751]
[1.06524404],[-0.06524404],[0.00430179],[1.00772396],[0.01369922],[0.00932921],[0.43462174],[-0.01277075],0.0,[1.00772396],[1.00772396]
[1.08953467],[-0.08953467],[0.0120984],[1.01991581],[0.01367888],[0.00935944],[0.45568332],[-0.0095349],0.0,[1.01991581],[1.01991581]
[1.22155552],[-0.22155552],[-0.00380242],[1.01603766],[0.01361807],[0.00932231],[0.56560171],[-0.0135104],0.0,[1.01603766],[1.01603766]
[1.45694143],[-0.45694143],[0.00124157],[1.01729914],[0.01355397],[0.00927895],[0.73709807],[-0.01817189],0.0,[1.01729914],[1.01729914]
[1.30912411],[-0.30912411],[0.0151554],[1.03271672],[0.01352811],[0.00935148],[0.62820745],[-0.01038634],0.0,[1.03271672],[1.03271672]
[1.33471715],[-0.33471715],[0.00596769],[1.03887965],[0.01347192],[0.00932546],[0.64340615],[-0.0131721],0.0,[1.03887965],[1.03887965]
[1.41453716],[-0.41453716],[-0.00723518],[1.03136317],[0.01341895],[0.00930812],[0.69754926],[-0.01503385],0.0,[1.03136317],[1.03136317]
1.5,-0.5,[-0.00055694],[1.03078877],[0.01335644],[0.00926488],[0.84100796],[-0.01968933],0.0,[1.03078877],[1.03078877]
1.5,-0.5,[0.00803024],[1.03906624],[0.01330461],[0.0092542],[0.92050398],[-0.02084315],0.0,[1.03906624],[1.03906624]
1.5,-0.5,[0.01387439],[1.05348266],[0.01327319],[0.00930734],[0.83818033],[-0.01511713],0.0,[1.05348266],[1.05348266]
1.5,-0.5,[-0.00955192],[1.04341987],[0.01322589],[0.00930962],[0.79089905],[-0.01487236],0.0,[1.04341987],[1.04341987]
1.5,-0.5,[0.00956522],[1.05340042],[0.01317953],[0.00931199],[0.76088468],[-0.01461741],0.0,[1.05340042],[1.05340042]
[0.63224736],[0.36775264],[-0.03045109],[1.02132323],[0.01326114],[0.00971527],[-0.11955766],[0.02777846],0.0,[1.02132323],[1.02132323]
[0.40886117],[0.59113883],[0.00202333],[1.0233897],[0.01320402],[0.00967291],[-0.55977883],[0.02340883],0.0,[1.0233897],[1.0233897]
[0.33912168],[0.66087832],[0.00018068],[1.02357461],[0.01314407],[0.009629],[-0.75134639],[0.01885828],0.0,[1.02357461],[1.02357461]
[0.34406771],[0.65593229],[-0.00227781],[1.0212431],[0.01310155],[0.00958786],[-0.74010674],[0.01457734],0.0,[1.0212431],[1.0212431]
[0.38378483],[0.61621517],[-0.00307195],[1.0181059],[0.01307176],[0.00954907],[-0.63313965],[0.01052345],0.0,[1.0181059],[1.0181059]
[0.44590385],[0.55409615],[-0.0037951],[1.01424209],[0.01304834],[0.00951295],[-0.48491189],[0.00673368],0.0,[1.01424209],[1.01424209]
[0.52520937],[0.47479063],[0.00444525],[1.01875064],[0.01302276],[0.00947967],[-0.32318014],[0.00322897],0.0,[1.01875064],[1.01875064]
[0.63271233],[0.36728767],[-0.00284598],[1.0158513],[0.01297524],[0.00944119],[-0.14061687],[-0.00083893],0.0,[1.0158513],[1.0158513]
[0.77106289],[0.22893711],[-0.00266668],[1.01314235],[0.0129239],[0.00940256],[0.0531721],[-0.00493922],0.0,[1.01314235],[1.01314235]
[0.90114745],[0.09885255],[0.0065836],[1.01981248],[0.01289138],[0.00938134],[0.20655178],[-0.00719863],0.0,[1.01981248],[1.01981248]
[0.74609316],[0.25390684],[-0.01726265],[1.00220782],[0.01296006],[0.00947948],[0.02304707],[0.00320915],0.0,[1.00220782],[1.00220782]
[0.6373296],[0.3626704],[-0.01191406],[0.99026745],[0.0129901],[0.00950359],[-0.13220139],[0.005749],0.0,[0.99026745],[0.99026745]
[0.53189279],[0.46810721],[-0.0130531],[0.97734139],[0.01307554],[0.00954041],[-0.30649093],[0.00961561],0.0,[0.97734139],[0.97734139]
[0.5455345],[0.4544655],[-0.00107021],[0.97629544],[0.01301989],[0.00949921],[-0.28543169],[0.00528745],0.0,[0.97629544],[0.97629544]
[0.61053534],[0.38946466],[-0.00297504],[0.97339091],[0.01297357],[0.00946186],[-0.17642553],[0.00134839],0.0,[0.97339091],[0.97339091]
[0.62122086],[0.37877914],[0.01082686],[0.98392968],[0.01302117],[0.00947455],[-0.15541252],[0.00268799],0.0,[0.98392968],[0.98392968]
[0.6988453],[0.3011547],[-0.0020954],[0.98186795],[0.01296877],[0.00943551],[-0.04170231],[-0.00144016],0.0,[0.98186795],[0.98186795]
[0.65918195],[0.34081805],[-0.01343188],[0.96867962],[0.01303631],[0.00947716],[-0.09493787],[0.00296347],0.0,[0.96867962],[0.96867962]
