w,c,r_ind,R_ind,sigma_hat_risky,sigma_hat_ind,kappa,e,kappa_lev,MA_long,MA_short
[1.42636232],[-0.42636232],[0.00662462],[1.00662462],[0.00662462],[0.00662462],0.0,0.0,0.0,[1.00662462],[1.00662462]
1.5,-0.5,[-0.00522537],[1.00136464],[0.00533041],[0.00596425],0.0,0.0,0.0,[1.00136464],[1.00136464]
1.5,-0.5,[-0.00552315],[0.99583395],[0.00482571],[0.00582013],0.0,0.0,0.0,[0.99583395],[0.99583395]
1.5,-0.5,[-0.01308349],[0.98280497],[0.00602737],[0.00827548],0.0,0.0,0.0,[0.98280497],[0.98280497]
[1.18644933],[-0.18644933],[0.01948782],[1.0019577],[0.00796419],[0.01146424],0.0,0.0,0.0,[1.0019577],[1.0019577]
[1.22855218],[-0.22855218],[0.00729334],[1.00926532],[0.00769126],[0.01087242],0.0,0.0,0.0,[1.00926532],[1.00926532]
[1.32882516],[-0.32882516],[-4.25360995e-05],[1.00922239],[0.00711088],[0.010052],0.0,0.0,0.0,[1.00922239],[1.00922239]
[1.39044516],[-0.39044516],[-0.00540266],[1.0037699],[0.00679575],[0.00958578],0.0,0.0,0.0,[1.0037699],[1.0037699]
[1.31001917],[-0.31001917],[0.01366906],[1.0174905],[0.00721296],[0.01013269],0.0,0.0,0.0,[1.0174905],[1.0174905]
[1.33949623],[-0.33949623],[-0.00722297],[1.01014119],[0.00705423],[0.00987398],0.0,0.0,0.0,[1.01014119],[1.01014119]
[1.4711667],[-0.4711667],[0.00243697],[1.01260287],[0.00674075],[0.00943087],[0.04830688],[-0.00193228],0.0,[1.01260287],[1.01260287]
[0.73062926],[0.26937074],[-0.02418262],[0.98811548],[0.00803593],[0.01146841],[-0.47584656],[0.19367574],0.0,[0.98811548],[0.98811548]
[0.5666528],[0.4333472],[-0.00521047],[0.98296694],[0.00797256],[0.01110081],[-0.73792328],[0.16109708],0.0,[0.98296694],[0.98296694]
[0.47782944],[0.52217056],[0.00664115],[0.98949496],[0.0082934],[0.01083383],[-0.86896164],[0.13675329],0.0,[0.98949496],[0.98949496]
