w,c,r_ind,R_ind,sigma_hat_risky,sigma_hat_ind,kappa,e,kappa_lev,MA_long,MA_short
[1.5],[-0.5],[0.00893938],[1.01559439],[0.00910959],[0.00927786],[0.78854109],[-0.01828974],[0.],[1.00108673],[1.00123496]
[0.9170949],[0.0829051],[0.02090355],[1.03682391],[0.00926956],[0.0097579],[-0.10572945],[0.03215679],[0.],[1.00201743],[1.00238124]
[0.59889502],[0.40110498],[0.00175369],[1.03864218],[0.00915553],[0.00963667],[-0.54423142],[0.01965467],[0.],[1.00295204],[1.00353095]
[0.64536667],[0.35463333],[-0.00301379],[1.03551193],[0.00907695],[0.0095273],[-0.4781195],[0.00824015],[0.],[1.0037666],[1.00452965]
[0.80281917],[0.19718083],[-0.00600715],[1.02929145],[0.00908521],[0.00945661],[-0.25889918],[0.00079358],[0.],[1.00439293],[1.00529158]
[1.12544215],[-0.12544215],[0.00491894],[1.03435448],[0.00902465],[0.0093732],[0.07221529],[-0.0080666],[0.],[1.00511438],[1.00617316]
[0.74339845],[0.25660155],[0.01609225],[1.05099957],[0.00918509],[0.00958654],[-0.3248618],[0.01443878],[0.],[1.0061991],[1.00751418]
[0.8168918],[0.1831082],[-0.00189636],[1.04900649],[0.00908658],[0.009479],[-0.2413713],[0.00315762],[0.],[1.00719301],[1.00873886]
[1.03110102],[-0.03110102],[-0.00561983],[1.04311125],[0.00904293],[0.00940861],[-0.01330995],[-0.00429503],[0.],[1.00801244],[1.00974023]
[0.8600128],[0.1399872],[0.01338418],[1.05707244],[0.00915],[0.00951599],[-0.18297507],[0.0070528],[0.],[1.00911262],[1.01110177]
[1.0459793],[-0.0459793],[-0.00167762],[1.05529907],[0.00905332],[0.00941378],[0.00216488],[-0.0037461],[0.],[1.0101311],[1.01235757]
[1.5],[-0.5],[-0.00131912],[1.05390701],[0.00895649],[0.00931314],[0.36343125],[-0.01449395],[0.],[1.0110807],[1.01352408]
[1.5],[-0.5],[0.00994786],[1.06439113],[0.00891416],[0.00932714],[0.50651121],[-0.01299182],[0.],[1.01221868],[1.01493566]
