P10,P50,P90
1.852196810566644,9.973763751430708,24.97846675222032
4.82710888144597,12.498183417444405,22.939347914654324
6.630041550123052,13.39003978762365,21.723535087382796
7.797978214006561,13.861559375886078,20.94363271104796
8.479296695202304,14.060865610162747,20.332082162000116
9.066312572538564,14.204696131652756,19.875806414747665
9.48579546534761,14.29445726658456,19.62308624749609
9.82835088170581,14.385132976317568,19.34609365154512
10.170854922759036,14.495325217417793,19.105969330136823
10.433099186406086,14.548703921617406,18.907707815321817
10.611299375664169,14.527982004084375,18.708886437694616
10.792693301081643,14.587372530972058,18.559985099114503
10.98355183847812,14.615022932307244,18.492010752252014
11.184612771836768,14.651302892180944,18.327361824902667
11.288082128217942,14.678623689687868,18.223543603369325
11.390937942822369,14.685716029200318,18.13936554597162
11.497124688654953,14.742202326204303,18.07950566710816
11.611430229982957,14.738586470976024,17.97582596884737
11.712825569720074,14.729058071769572,17.92655020639068
11.801098899034292,14.734390057670732,17.890503993848874
11.876361809952632,14.760406608888745,17.830661594405505
11.957089250610615,14.768928502687956,17.777953534912527
12.033023724425227,14.777696662459004,17.709961043179508
12.105748850161437,14.797864547618875,17.657783615855664
12.14124873671105,14.77751990067511,17.59227181018171
12.206332103724671,14.794425847463568,17.578231375051416
12.266274282342616,14.797405156195705,17.51125207621051
12.314514568409713,14.81594729817257,17.481519738949807
12.381640643971538,14.835933010141213,17.450626149395397
12.406247307844328,14.826724317714557,17.39870683910176
12.448101865683475,14.825186870444515,17.347401852756
12.514484436362082,14.823306739809565,17.31686037541737
12.552998758057027,14.832332623806677,17.283773286687136
12.572153651259354,14.828865630614727,17.26440164334576
12.621394088142827,14.825434555953358,17.257299691158778
12.642037295954603,14.833824831410855,17.217060551138857
12.677877307964938,14.841437050466723,17.17984886864322
12.723216730135169,14.850474768160348,17.142492361183447
12.731120380498204,14.851328070532942,17.11983733892308
12.728926049810728,14.867982378368165,17.110359622690368
12.778910786629627,14.875157687705528,17.064765521362006
12.793917443835529,14.891676247602085,17.052888085643126
12.817031064206322,14.879120859273598,17.03344327110224
12.848014792471382,14.876934023152494,17.017929215554307
12.880248368276746,14.868261602054963,17.013096609321444
12.891872403305532,14.877266645667717,16.971139438025688
12.894815788966397,14.881893268945001,16.941802421030157
12.927875994082026,14.882443958369649,16.917644891697556
12.957286454378655,14.890020495242698,16.915283786960536
12.974900722562458,14.889359267074123,16.91167725278047
12.995256473118529,14.89392718431634,16.8934621359841
13.003982782422547,14.890876751855501,16.868385270987158
13.040770214650282,14.901365806166789,16.86502015926876
13.040341579979529,14.905419428853502,16.851620965037103
13.072945763658725,14.900961399781407,16.826208427122655
13.086645058154772,14.901495764331223,16.805975659359504
13.107964966554803,14.901866819849811,16.795569737056816
13.12421207022281,14.915878265851928,16.776324689400155
13.131152830340916,14.908406369920302,16.79291305234065
13.159102598821175,14.908227649211671,16.7829747480468
13.18587055880821,14.90516901080441,16.766451696865044
13.193898199999499,14.915245274206692,16.7420615857808
13.207281036437449,14.913257075361457,16.726708538215235
13.221918497107334,14.915193190552595,16.714727445920406
13.230951432574393,14.916076217755911,16.711918125269623
13.236167768145826,14.913619047426874,16.693340960403255
13.252016446316972,14.921397988163609,16.671790511981122
13.242376189358,14.915162901056297,16.665449501314107
13.263156676022842,14.92069992379691,16.646305070759546
13.2719324873472,14.918528926398793,16.631748468246915
13.294118523673452,14.925098319827011,16.623048866433493
13.312201601988887,14.924989564709016,16.621226479176073
13.3323835738368,14.925589957121533,16.612670668986585
13.330030547759788,14.924543474394373,16.583319518352983
13.333998994445556,14.92929177007613,16.570335719130895
13.35381184420313,14.928598191717755,16.561715657817665
13.361975756237884,14.919305206248257,16.554893610576297
13.37708341146254,14.926797623323946,16.538733813607696
