w,c,r_ind,R_ind,sigma_hat_risky,sigma_hat_ind,kappa,e,kappa_lev,MA_long,MA_short
[1.16169706],[-0.16169706],[-0.00636372],[0.98797443],[0.00813389],[0.01101395],0.0,0.0,0.0,[0.98797443],[0.98797443]
[1.18816341],[-0.18816341],[0.00534444],[0.9932546],[0.0079527],[0.01073631],0.0,0.0,0.0,[0.9932546],[0.9932546]
[1.1428914],[-0.1428914],[-0.01441171],[0.9789401],[0.00826773],[0.01099763],0.0,0.0,0.0,[0.9789401],[0.9789401]
[1.13493247],[-0.13493247],[0.01050278],[0.98922169],[0.0083257],[0.01096944],0.0,0.0,0.0,[0.98922169],[0.98922169]
[1.10859889],[-0.10859889],[0.01289389],[1.00197661],[0.00852347],[0.01108455],0.0,0.0,0.0,[1.00197661],[1.00197661]
[1.06301076],[-0.06301076],[-0.01544181],[0.98650428],[0.00888901],[0.01135576],0.0,0.0,0.0,[0.98650428],[0.98650428]
[1.08192962],[-0.08192962],[0.0052546],[0.99168797],[0.00873357],[0.01112913],0.0,0.0,0.0,[0.99168797],[0.99168797]
[1.03636796],[-0.03636796],[0.01598502],[1.00754012],[0.00911753],[0.01141027],0.0,0.0,0.0,[1.00754012],[1.00754012]
[1.06026781],[-0.06026781],[-0.00175763],[1.00576923],[0.008912],[0.0111502],0.0,0.0,0.0,[1.00576923],[1.00576923]
[1.08002864],[-0.08002864],[0.00402655],[1.00981901],[0.00874895],[0.01093305],0.0,0.0,0.0,[1.00981901],[1.00981901]
[1.09431942],[-0.09431942],[0.00590395],[1.01578094],[0.00863469],[0.01076644],0.0,0.0,0.0,[1.01578094],[1.01578094]
[1.1139621],[-0.1139621],[0.00365274],[1.01949132],[0.00848244],[0.01056853],0.0,0.0,0.0,[1.01949132],[1.01949132]
[1.10953683],[-0.10953683],[0.01033509],[1.03002785],[0.00851627],[0.01055935],0.0,0.0,0.0,[1.03002785],[1.03002785]
[1.13137102],[-0.13137102],[-0.00070905],[1.02929751],[0.00835191],[0.0103554],0.0,0.0,0.0,[1.02929751],[1.02929751]
[1.13705672],[-0.13705672],[-0.00810724],[1.02095275],[0.00831015],[0.01028057],0.0,0.0,0.0,[1.02095275],[1.02095275]
[1.13144153],[-0.13144153],[-0.01069803],[1.01003057],[0.00835139],[0.01029592],0.0,0.0,0.0,[1.01003057],[1.01003057]
[1.10022362],[-0.10022362],[0.01534323],[1.0255277],[0.00858836],[0.01051352],0.0,0.0,0.0,[1.0255277],[1.0255277]
[1.04202847],[-0.04202847],[-0.01978943],[1.00523309],[0.009068],[0.01095844],0.0,0.0,0.0,[1.00523309],[1.00523309]
[1.04713944],[-0.04713944],[-0.00794329],[0.99724823],[0.00902374],[0.01087217],0.0,0.0,0.0,[0.99724823],[0.99724823]
[1.05753152],[-0.05753152],[0.0059067],[1.00313868],[0.00893506],[0.01074825],0.0,0.0,0.0,[1.00313868],[1.00313868]
[1.05480619],[-0.05480619],[-0.01021008],[0.99289655],[0.00895815],[0.0107318],0.0,0.0,0.0,[0.99289655],[0.99289655]
[1.06764505],[-0.06764505],[-0.00441254],[0.98851536],[0.00885042],[0.01059478],0.0,0.0,0.0,[0.98851536],[0.98851536]
[0.9950581],[0.0049419],[-0.02330425],[0.96547875],[0.00949604],[0.01118407],0.0,0.0,0.0,[0.96547875],[0.96547875]
[1.00559388],[-0.00559388],[0.00502985],[0.97033496],[0.00939655],[0.01105358],0.0,0.0,0.0,[0.97033496],[0.97033496]
[1.00988329],[-0.00988329],[0.00791396],[0.97801415],[0.00935664],[0.01097678],0.0,0.0,0.0,[0.97801415],[0.97801415]
[1.02349826],[-0.02349826],[0.00207919],[0.98004763],[0.00923217],[0.01082881],0.0,0.0,0.0,[0.98004763],[0.98004763]
[1.02937868],[-0.02937868],[0.00719626],[0.98710031],[0.00917943],[0.01074635],0.0,0.0,0.0,[0.98710031],[0.98710031]
[1.03727037],[-0.03727037],[0.0061908],[0.99321125],[0.00910959],[0.01065046],0.0,0.0,0.0,[0.99321125],[0.99321125]
[1.01937035],[-0.01937035],[0.01451044],[1.00762318],[0.00926956],[0.01076855],0.0,0.0,0.0,[1.00762318],[1.00762318]
[1.03206585],[-0.03206585],[0.00192931],[1.0095672],[0.00915553],[0.01063473],0.0,0.0,0.0,[1.0095672],[1.0095672]
[1.04100111],[-0.04100111],[-0.0053238],[1.00419246],[0.00907695],[0.01053457],0.0,0.0,0.0,[1.00419246],[1.00419246]
[1.0400548],[-0.0400548],[-0.0098008],[0.99435058],[0.00908521],[0.01051717],0.0,0.0,0.0,[0.99435058],[0.99435058]
[1.04703325],[-0.04703325],[0.00631915],[1.00063403],[0.00902465],[0.01043595],0.0,0.0,0.0,[1.00063403],[1.00063403]
[1.02874406],[-0.02874406],[0.01498385],[1.01562737],[0.00918509],[0.01056608],0.0,0.0,0.0,[1.01562737],[1.01562737]
[1.03989804],[-0.03989804],[-0.00269495],[1.01289031],[0.00908658],[0.01045076],0.0,0.0,0.0,[1.01289031],[1.01289031]
[1.04491667],[-0.04491667],[-0.00720315],[1.00559431],[0.00904293],[0.010388],0.0,0.0,0.0,[1.00559431],[1.00559431]
[1.03269002],[-0.03269002],[0.01356111],[1.01923128],[0.00915],[0.0104697],0.0,0.0,0.0,[1.01923128],[1.01923128]
[1.04371733],[-0.04371733],[-0.00205038],[1.01714146],[0.00905332],[0.0103581],0.0,0.0,0.0,[1.01714146],[1.01714146]
[1.05500109],[-0.05500109],[-0.00131587],[1.01580303],[0.00895649],[0.01024697],0.0,0.0,0.0,[1.01580303],[1.01580303]
[1.06001187],[-0.06001187],[0.00704958],[1.02296401],[0.00891416],[0.0101892],0.0,0.0,0.0,[1.02296401],[1.02296401]
[1.07035361],[-0.07035361],[0.00274118],[1.02576815],[0.00882803],[0.01008941],0.0,0.0,0.0,[1.02576815],[1.02576815]
[1.08119954],[-0.08119954],[0.00176154],[1.02757508],[0.00873947],[0.00998769],0.0,0.0,0.0,[1.02757508],[1.02757508]
[1.09234947],[-0.09234947],[0.00054469],[1.02813479],[0.00865026],[0.00988569],0.0,0.0,0.0,[1.02813479],[1.02813479]
[1.10091195],[-0.10091195],[0.00449951],[1.03276089],[0.00858299],[0.00980667],0.0,0.0,0.0,[1.03276089],[1.03276089]
[1.11189286],[-0.11189286],[-0.00081168],[1.03192262],[0.00849822],[0.0097098],0.0,0.0,0.0,[1.03192262],[1.03192262]
[1.11228323],[-0.11228323],[-0.00929788],[1.02232793],[0.00849524],[0.00970193],0.0,0.0,0.0,[1.02232793],[1.02232793]
[1.10051267],[-0.10051267],[0.01372919],[1.03636367],[0.0085861],[0.00979507],0.0,0.0,0.0,[1.03636367],[1.03636367]
[1.11110339],[-0.11110339],[0.0002076],[1.03657882],[0.00850426],[0.0097017],0.0,0.0,0.0,[1.03657882],[1.03657882]
[1.11609072],[-0.11609072],[-0.00685991],[1.02946798],[0.00846626],[0.00965616],0.0,0.0,0.0,[1.02946798],[1.02946798]
[1.11229261],[-0.11229261],[-0.01108133],[1.0180601],[0.00849517],[0.00968441],0.0,0.0,0.0,[1.0180601],[1.0180601]
[1.11517495],[-0.11517495],[0.00798127],[1.02618551],[0.00847321],[0.00965602],0.0,0.0,0.0,[1.02618551],[1.02618551]
[1.11870631],[-0.11870631],[-0.00763994],[1.01834551],[0.00844646],[0.00962343],0.0,0.0,0.0,[1.01834551],[1.01834551]
[1.12789939],[-0.12789939],[-0.00281978],[1.01547401],[0.00837762],[0.00954483],0.0,0.0,0.0,[1.01547401],[1.01547401]
[1.13110842],[-0.13110842],[-0.00780163],[1.00755165],[0.00835385],[0.00951695],0.0,0.0,0.0,[1.00755165],[1.00755165]
[1.14042207],[-0.14042207],[0.00235666],[1.00992611],[0.00828563],[0.00943905],0.0,0.0,0.0,[1.00992611],[1.00992611]
[1.14940954],[-0.14940954],[-0.00289926],[1.00699807],[0.00822084],[0.00936539],0.0,0.0,0.0,[1.00699807],[1.00699807]
[1.13854081],[-0.13854081],[-0.01381978],[0.99308158],[0.00829932],[0.00945848],0.0,0.0,0.0,[0.99308158],[0.99308158]
[1.13049279],[-0.13049279],[-0.01288328],[0.98028743],[0.0083584],[0.00952609],0.0,0.0,0.0,[0.98028743],[0.98028743]
[1.12834916],[-0.12834916],[0.01045333],[0.9905347],[0.00837428],[0.0095422],0.0,0.0,0.0,[0.9905347],[0.9905347]
[1.13036382],[-0.13036382],[-0.00838393],[0.98223013],[0.00835935],[0.00952434],0.0,0.0,0.0,[0.98223013],[0.98223013]
[1.13952214],[-0.13952214],[-0.00112007],[0.98112996],[0.00829217],[0.00944782],0.0,0.0,0.0,[0.98112996],[0.98112996]
[1.1477112],[-0.1477112],[0.00317026],[0.9842404],[0.008233],[0.00938027],0.0,0.0,0.0,[0.9842404],[0.9842404]
[1.14585114],[-0.14585114],[-0.01039728],[0.97400698],[0.00824637],[0.00939729],0.0,0.0,0.0,[0.97400698],[0.97400698]
[1.14385098],[-0.14385098],[-0.01047437],[0.96380487],[0.00826079],[0.00941518],0.0,0.0,0.0,[0.96380487],[0.96380487]
[1.15281802],[-0.15281802],[0.00060016],[0.96438331],[0.00819653],[0.00934192],0.0,0.0,0.0,[0.96438331],[0.96438331]
[1.0945288],[-0.0945288],[0.02685826],[0.99028496],[0.00863304],[0.00985101],0.0,0.0,0.0,[0.99028496],[0.99028496]
[1.07494176],[-0.07494176],[-0.01746683],[0.97298782],[0.00879035],[0.01001083],0.0,0.0,0.0,[0.97298782],[0.97298782]
[1.08300254],[-0.08300254],[0.00127149],[0.97422496],[0.00872492],[0.00993614],0.0,0.0,0.0,[0.97422496],[0.97422496]
[1.08002383],[-0.08002383],[-0.01107106],[0.96343926],[0.00874898],[0.00995408],0.0,0.0,0.0,[0.96343926],[0.96343926]
[1.07976852],[-0.07976852],[0.00958418],[0.97267304],[0.00875105],[0.0099487],0.0,0.0,0.0,[0.97267304],[0.97267304]
[1.08588688],[-0.08588688],[0.00456582],[0.97711409],[0.00870175],[0.00989085],0.0,0.0,0.0,[0.97711409],[0.97711409]
[1.04480586],[-0.04480586],[-0.0241231],[0.95354306],[0.00904389],[0.01024084],0.0,0.0,0.0,[0.95354306],[0.95354306]
[1.04977282],[-0.04977282],[-0.005562],[0.94823946],[0.0090011],[0.01018863],0.0,0.0,0.0,[0.94823946],[0.94823946]
[1.03223354],[-0.03223354],[-0.01742551],[0.9317159],[0.00915404],[0.01032788],0.0,0.0,0.0,[0.9317159],[0.9317159]
[1.03238568],[-0.03238568],[-0.00935612],[0.92299865],[0.0091527],[0.01031475],0.0,0.0,0.0,[0.92299865],[0.92299865]
[0.99056548],[0.00943452],[-0.02524932],[0.89969357],[0.00953911],[0.01067033],0.0,0.0,0.0,[0.89969357],[0.89969357]
[0.93534698],[0.06465302],[0.02947069],[0.92620815],[0.01010225],[0.01115206],0.0,0.0,0.0,[0.92620815],[0.92620815]
[0.94026012],[0.05973988],[0.00469279],[0.93055466],[0.01004947],[0.01108849],0.0,0.0,0.0,[0.93055466],[0.93055466]
[0.91627257],[0.08372743],[-0.02084619],[0.91115614],[0.01031256],[0.01127934],0.0,0.0,0.0,[0.91115614],[0.91115614]
[0.92238168],[0.07761832],[-0.0015753],[0.90972079],[0.01024425],[0.01120395],0.0,0.0,0.0,[0.90972079],[0.90972079]
[0.86970958],[0.13029042],[0.03027909],[0.93726631],[0.01086467],[0.01167021],0.0,0.0,0.0,[0.93726631],[0.93726631]
[0.87283692],[0.12716308],[0.00646729],[0.94332788],[0.01082575],[0.01161602],0.0,0.0,0.0,[0.94332788],[0.94332788]
[0.87815918],[0.12184082],[0.00284367],[0.9460104],[0.01076014],[0.01154336],0.0,0.0,0.0,[0.9460104],[0.9460104]
[0.88093407],[0.11906593],[-0.00680628],[0.93957159],[0.01072624],[0.01149369],0.0,0.0,0.0,[0.93957159],[0.93957159]
[0.86430602],[0.13569398],[-0.01881416],[0.92189434],[0.0109326],[0.01161909],0.0,0.0,0.0,[0.92189434],[0.92189434]
[0.86985861],[0.13014139],[0.00130993],[0.92310195],[0.01086281],[0.01154448],0.0,0.0,0.0,[0.92310195],[0.92310195]
[0.86035883],[0.13964117],[0.01562289],[0.93752347],[0.01098276],[0.01160608],0.0,0.0,0.0,[0.93752347],[0.93752347]
[0.86321642],[0.13678358],[0.00658985],[0.94370161],[0.0109464],[0.01155573],0.0,0.0,0.0,[0.94370161],[0.94370161]
[0.85042069],[0.14957931],[0.01742416],[0.96014482],[0.0111111],[0.01164869],0.0,0.0,0.0,[0.96014482],[0.96014482]
[0.85489852],[0.14510148],[-0.00387143],[0.95642769],[0.0110529],[0.01158326],0.0,0.0,0.0,[0.95642769],[0.95642769]
[0.8599315],[0.1400685],[0.00246389],[0.95878421],[0.01098821],[0.01151392],0.0,0.0,0.0,[0.95878421],[0.95878421]
[0.86531973],[0.13468027],[-6.90177796e-05],[0.95871804],[0.01091979],[0.01144222],0.0,0.0,0.0,[0.95871804],[0.95871804]
[0.86804556],[0.13195444],[0.00664857],[0.96509215],[0.0108855],[0.01139539],0.0,0.0,0.0,[0.96509215],[0.96509215]
[0.87337592],[0.12662408],[-0.00072954],[0.96438807],[0.01081907],[0.01132569],0.0,0.0,0.0,[0.96438807],[0.96438807]
[0.85830505],[0.14169495],[-0.01866679],[0.94638604],[0.01100904],[0.01144332],0.0,0.0,0.0,[0.94638604],[0.94638604]
[0.86197733],[0.13802267],[-0.00511856],[0.9415419],[0.01096214],[0.01138788],0.0,0.0,0.0,[0.9415419],[0.9415419]
[0.84591872],[0.15408128],[-0.01932325],[0.92334826],[0.01117024],[0.01151562],0.0,0.0,0.0,[0.92334826],[0.92334826]
[0.84659514],[0.15340486],[-0.0087656],[0.91525455],[0.01116131],[0.0114867],0.0,0.0,0.0,[0.91525455],[0.91525455]
[0.82747596],[0.17252404],[0.021039],[0.93451059],[0.0114192],[0.01164586],0.0,0.0,0.0,[0.93451059],[0.93451059]
[0.83145894],[0.16854106],[0.00413253],[0.93837249],[0.0113645],[0.01158577],0.0,0.0,0.0,[0.93837249],[0.93837249]
[0.8297403],[0.1702597],[-0.01096597],[0.92808233],[0.01138804],[0.01157871],0.0,0.0,0.0,[0.92808233],[0.92808233]
[0.8331871],[0.1668129],[-0.00505825],[0.92338786],[0.01134092],[0.0115241],0.0,0.0,0.0,[0.92338786],[0.92338786]
[0.82912021],[0.17087979],[-0.01282474],[0.91154565],[0.01139655],[0.01153998],0.0,0.0,0.0,[0.91154565],[0.91154565]
[0.83199907],[0.16800093],[0.00599727],[0.91701243],[0.01135712],[0.01149149],0.0,0.0,0.0,[0.91701243],[0.91701243]
[0.81508573],[0.18491427],[-0.02039247],[0.89831228],[0.01159278],[0.01163165],0.0,0.0,0.0,[0.89831228],[0.89831228]
[0.80925032],[0.19074968],[0.01428513],[0.91114478],[0.01167638],[0.01166517],0.0,0.0,0.0,[0.91114478],[0.91114478]
[0.81154987],[0.18845013],[0.00670673],[0.91725559],[0.01164329],[0.01162101],0.0,0.0,0.0,[0.91725559],[0.91725559]
[0.81041714],[0.18958286],[-0.01052758],[0.90759911],[0.01165957],[0.01160931],0.0,0.0,0.0,[0.90759911],[0.90759911]
[0.81485867],[0.18514133],[-0.00147898],[0.90625679],[0.01159601],[0.01154542],0.0,0.0,0.0,[0.90625679],[0.90625679]
[0.81598357],[0.18401643],[-0.00815819],[0.89886337],[0.01158003],[0.01151331],0.0,0.0,0.0,[0.89886337],[0.89886337]
[0.8202485],[0.1797515],[-0.00227894],[0.89681491],[0.01151982],[0.01145212],0.0,0.0,0.0,[0.89681491],[0.89681491]
[0.82163186],[0.17836814],[0.00790091],[0.90390057],[0.01150042],[0.01141915],0.0,0.0,0.0,[0.90390057],[0.90390057]
[0.78966596],[0.21033404],[0.02769313],[0.92893241],[0.01196596],[0.01171933],0.0,0.0,0.0,[0.92893241],[0.92893241]
[0.78724694],[0.21275306],[-0.01179091],[0.91797945],[0.01200273],[0.01172011],0.0,0.0,0.0,[0.91797945],[0.91797945]
[0.78726162],[0.21273838],[-0.00939442],[0.90935556],[0.01200251],[0.01169748],0.0,0.0,0.0,[0.90935556],[0.90935556]
[0.7911821],[0.2088179],[0.00270065],[0.91181142],[0.01194303],[0.01163787],0.0,0.0,0.0,[0.91181142],[0.91181142]
[0.76716306],[0.23283694],[0.02495463],[0.93456533],[0.01231695],[0.0118594],0.0,0.0,0.0,[0.93456533],[0.93456533]
[0.76985652],[0.23014348],[-0.00549007],[0.92943451],[0.01227386],[0.01180978],0.0,0.0,0.0,[0.92943451],[0.92943451]
[0.77084069],[0.22915931],[-0.0081888],[0.92182355],[0.01225819],[0.01177733],0.0,0.0,0.0,[0.92182355],[0.92182355]
[0.77025209],[0.22974791],[-0.01007094],[0.91253992],[0.01226756],[0.01176066],0.0,0.0,0.0,[0.91253992],[0.91253992]
[0.75878844],[0.24121156],[-0.01863928],[0.89553083],[0.01245289],[0.01185335],0.0,0.0,0.0,[0.89553083],[0.89553083]
[0.75985972],[0.24014028],[0.00811383],[0.90279702],[0.01243534],[0.0118205],0.0,0.0,0.0,[0.90279702],[0.90279702]
[0.75712983],[0.24287017],[-0.01226635],[0.89172299],[0.01248017],[0.01182521],0.0,0.0,0.0,[0.89172299],[0.89172299]
[0.74137181],[0.25862819],[-0.02143249],[0.87261115],[0.01274544],[0.01196373],0.0,0.0,0.0,[0.87261115],[0.87261115]
[0.74422383],[0.25577617],[0.00481517],[0.87681292],[0.0126966],[0.01191217],0.0,0.0,0.0,[0.87681292],[0.87681292]
[0.72541706],[0.27458294],[0.02346314],[0.8973857],[0.01302576],[0.0120861],0.0,0.0,0.0,[0.8973857],[0.8973857]
[0.7284993],[0.2715007],[0.00393997],[0.90092137],[0.01297065],[0.01203106],0.0,0.0,0.0,[0.90092137],[0.90092137]
[0.72872719],[0.27127281],[0.00920174],[0.90921141],[0.0129666],[0.01200577],0.0,0.0,0.0,[0.90921141],[0.90921141]
[0.73240074],[0.26759926],[-0.00071825],[0.90855837],[0.01290156],[0.01194537],0.0,0.0,0.0,[0.90855837],[0.90855837]
[0.73118997],[0.26881003],[-0.01085935],[0.89869202],[0.01292292],[0.01193497],0.0,0.0,0.0,[0.89869202],[0.89869202]
[0.72585733],[0.27414267],[-0.01482306],[0.88537065],[0.01301786],[0.01196724],0.0,0.0,0.0,[0.88537065],[0.88537065]
[0.68120954],[0.31879046],[0.03618304],[0.91740605],[0.01387108],[0.01244191],0.0,0.0,0.0,[0.91740605],[0.91740605]
[0.68233183],[0.31766817],[-0.00766902],[0.91037044],[0.01384826],[0.01240369],0.0,0.0,0.0,[0.91037044],[0.91037044]
[0.67133365],[0.32866635],[-0.01966499],[0.89246802],[0.01407514],[0.01249581],0.0,0.0,0.0,[0.89246802],[0.89246802]
[0.67460846],[0.32539154],[0.00110592],[0.89345502],[0.01400681],[0.01243487],0.0,0.0,0.0,[0.89345502],[0.89345502]
[0.67792538],[0.32207462],[0.0002162],[0.89364818],[0.01393828],[0.01237403],0.0,0.0,0.0,[0.89364818],[0.89364818]
[0.67786307],[0.32213693],[0.00959225],[0.90222027],[0.01393956],[0.01235],0.0,0.0,0.0,[0.90222027],[0.90222027]
[0.68068116],[0.31931884],[0.00367126],[0.90553255],[0.01388185],[0.01229537],0.0,0.0,0.0,[0.90553255],[0.90553255]
[0.68387012],[0.31612988],[-0.00171327],[0.90398113],[0.01381711],[0.01223711],0.0,0.0,0.0,[0.90398113],[0.90398113]
[0.68687835],[0.31312165],[0.00288491],[0.90658904],[0.0137566],[0.01218151],0.0,0.0,0.0,[0.90658904],[0.90658904]
[0.68975568],[0.31024432],[0.0034495],[0.90971632],[0.01369922],[0.01212782],0.0,0.0,0.0,[0.90971632],[0.90971632]
[0.69078087],[0.30921913],[0.00789189],[0.9168957],[0.01367888],[0.01209448],0.0,0.0,0.0,[0.9168957],[0.9168957]
[0.69386584],[0.30613416],[-0.00235061],[0.91474044],[0.01361807],[0.01203916],0.0,0.0,0.0,[0.91474044],[0.91474044]
[0.69714717],[0.30285283],[0.00077723],[0.9154514],[0.01355397],[0.01198239],0.0,0.0,0.0,[0.9154514],[0.9154514]
[0.6984797],[0.3015203],[0.00733835],[0.92216931],[0.01352811],[0.01194711],0.0,0.0,0.0,[0.92216931],[0.92216931]
[0.70139312],[0.29860688],[0.00326243],[0.92517782],[0.01347192],[0.01189518],0.0,0.0,0.0,[0.92517782],[0.92517782]
[0.70416197],[0.29583803],[-0.00372168],[0.92173461],[0.01341895],[0.01184498],0.0,0.0,0.0,[0.92173461],[0.92173461]
[0.70745752],[0.29254248],[-0.0001941],[0.92155569],[0.01335644],[0.01178978],0.0,0.0,0.0,[0.92155569],[0.92155569]
[0.71021359],[0.28978641],[0.00387513],[0.92512685],[0.01330461],[0.01174096],0.0,0.0,0.0,[0.92512685],[0.92512685]
[0.71189438],[0.28810562],[0.00665548],[0.93128401],[0.01327319],[0.01170412],0.0,0.0,0.0,[0.93128401],[0.93128401]
[0.71444049],[0.28555951],[-0.00444953],[0.92714023],[0.01322589],[0.01165799],0.0,0.0,0.0,[0.92714023],[0.92714023]
[0.71695346],[0.28304654],[0.00463688],[0.93143927],[0.01317953],[0.01161295],0.0,0.0,0.0,[0.93143927],[0.93143927]
[0.71254165],[0.28745835],[-0.01447492],[0.91795676],[0.01326114],[0.01164226],0.0,0.0,0.0,[0.91795676],[0.91795676]
[0.71562372],[0.28437628],[0.00226081],[0.92003209],[0.01320402],[0.01159119],0.0,0.0,0.0,[0.92003209],[0.92003209]
[0.71888784],[0.28111216],[0.00020204],[0.92021797],[0.01314407],[0.01153857],0.0,0.0,0.0,[0.92021797],[0.92021797]
[0.72122071],[0.27877929],[-0.00499971],[0.91561715],[0.01310155],[0.01149617],0.0,0.0,0.0,[0.91561715],[0.91561715]
[0.72286443],[0.27713557],[-0.00660676],[0.90956789],[0.01307176],[0.01146147],0.0,0.0,0.0,[0.90956789],[0.90956789]
[0.72416208],[0.27583792],[-0.00728163],[0.90294475],[0.01304834],[0.01143079],0.0,0.0,0.0,[0.90294475],[0.90294475]
[0.7255842],[0.2744158],[0.00712423],[0.90937754],[0.01302276],[0.01139951],0.0,0.0,0.0,[0.90937754],[0.90937754]
[0.72824151],[0.27175849],[-0.00398962],[0.90574947],[0.01297524],[0.01135488],0.0,0.0,0.0,[0.90574947],[0.90574947]
[0.7311348],[0.2688652],[-0.00309237],[0.90294856],[0.0129239],[0.01130813],0.0,0.0,0.0,[0.90294856],[0.90294856]
[0.73297904],[0.26702096],[0.0062507],[0.90859261],[0.01289138],[0.01127335],0.0,0.0,0.0,[0.90859261],[0.90859261]
[0.72909453],[0.27090547],[-0.01401286],[0.89586063],[0.01296006],[0.0113004],0.0,0.0,0.0,[0.89586063],[0.89586063]
[0.72740859],[0.27259141],[-0.01163909],[0.88543363],[0.0129901],[0.01130342],0.0,0.0,0.0,[0.88543363],[0.88543363]
[0.72265568],[0.27734432],[-0.01491959],[0.87222332],[0.01307554],[0.0113401],0.0,0.0,0.0,[0.87222332],[0.87222332]
[0.72574429],[0.27425571],[-0.00150903],[0.87090711],[0.01301989],[0.01129137],0.0,0.0,0.0,[0.87090711],[0.87090711]
[0.72833544],[0.27166456],[-0.00400791],[0.86741659],[0.01297357],[0.01124836],0.0,0.0,0.0,[0.86741659],[0.86741659]
[0.72567277],[0.27432723],[0.01288611],[0.87859421],[0.01302117],[0.01126359],0.0,0.0,0.0,[0.87859421],[0.87859421]
[0.72860497],[0.27139503],[-0.00247336],[0.87642113],[0.01296877],[0.01121715],0.0,0.0,0.0,[0.87642113],[0.87642113]
[0.72483023],[0.27516977],[-0.01401048],[0.86414205],[0.01303631],[0.01124419],0.0,0.0,0.0,[0.86414205],[0.86414205]
[0.72769777],[0.27230223],[0.00278853],[0.86655173],[0.01298494],[0.01119877],0.0,0.0,0.0,[0.86655173],[0.86655173]
[0.72983652],[0.27016348],[-0.0052756],[0.86198016],[0.01294689],[0.01116139],0.0,0.0,0.0,[0.86198016],[0.86198016]
[0.73193186],[0.26806814],[0.00547267],[0.86669749],[0.01290982],[0.01112514],0.0,0.0,0.0,[0.86669749],[0.86669749]
[0.73240837],[0.26759163],[0.00873734],[0.87427012],[0.01290143],[0.01110698],0.0,0.0,0.0,[0.87427012],[0.87427012]
[0.73521432],[0.26478568],[0.00306173],[0.8769469],[0.01285219],[0.01106335],0.0,0.0,0.0,[0.8769469],[0.8769469]
[0.73818158],[0.26181842],[0.0021898],[0.87886724],[0.01280053],[0.01101829],0.0,0.0,0.0,[0.87886724],[0.87886724]
[0.72749116],[0.27250884],[-0.02002621],[0.86126686],[0.01298863],[0.01112482],0.0,0.0,0.0,[0.86126686],[0.86126686]
[0.69712802],[0.30287198],[-0.03211573],[0.83360664],[0.01355434],[0.01146282],0.0,0.0,0.0,[0.83360664],[0.83360664]
[0.69573846],[0.30426154],[0.01152904],[0.84321732],[0.01358141],[0.01146338],0.0,0.0,0.0,[0.84321732],[0.84321732]
[0.68972604],[0.31027396],[-0.01657425],[0.82924163],[0.0136998],[0.01151552],0.0,0.0,0.0,[0.82924163],[0.82924163]
[0.6922887],[0.3077113],[0.00323478],[0.83192405],[0.01364909],[0.01147122],0.0,0.0,0.0,[0.83192405],[0.83192405]
[0.68994909],[0.31005091],[-0.01269103],[0.82136607],[0.01369538],[0.01148189],0.0,0.0,0.0,[0.82136607],[0.82136607]
[0.68785101],[0.31214899],[0.0124994],[0.83163265],[0.01373715],[0.0114907],0.0,0.0,0.0,[0.83163265],[0.83163265]
[0.68175875],[0.31824125],[-0.01678243],[0.81767584],[0.01385991],[0.0115444],0.0,0.0,0.0,[0.81767584],[0.81767584]
