Date,w,c,r_ind,R_ind,sigma_hat_risky,sigma_hat_index,kappa,kappa_lev,error,ma_long,ma_short
2000-06-06,1.5,-0.5,-0.005103147242335848,0.9948968527576642,0.005103147242335848,0.005103147242335848,0.0,0.0,0.0,0.0,0.0
2000-06-07,1.5,-0.5,0.009847651083057888,1.004694249827254,0.005915472477391325,0.007848995266842615,0.0,0.0,0.0,0.0,0.0
2000-06-08,1.5,-0.5,-0.00550524919400726,0.9991631576181688,0.005256550914081976,0.007149566053504663,0.0,0.0,0.0,0.0,0.0
2000-06-09,1.5,-0.5,-0.005522779137823807,0.993645000175993,0.004896235687212339,0.006776421464421907,0.0,0.0,0.0,0.0,0.0
2000-06-12,1.5,-0.5,-0.013083613068353666,0.980644533466386,0.005856337672992812,0.008440881746216275,0.0,0.0,0.0,0.0,0.0
2000-06-13,1.2484475335350982,-0.2484475335350982,0.019487947804222392,0.999755282949075,0.0075686895695765595,0.01110766440767212,0.0,0.0,0.0,0.0,0.0
2000-06-14,1.279895848914387,-0.279895848914387,0.007664861839296577,1.0074182690659865,0.007382719330831064,0.010676809729459601,0.0,0.0,0.0,0.0,0.0
2000-06-15,1.3701622339816777,-0.3701622339816777,-5.2091727436844254e-05,1.0073657909080995,0.0068963452581608945,0.009973438081968275,0.0,0.0,0.0,0.0,0.0
2000-06-16,1.4245899205229955,-0.4245899205229955,-0.005576533016538239,1.0017481823153693,0.006632864439867525,0.009576239896209803,0.0,0.0,0.0,0.0,0.0
2000-06-19,1.3431413837563775,-0.3431413837563775,0.013999470798040892,1.0157721267406838,0.007035083528440059,0.01011891738786523,0.0,0.0,0.0,0.0,0.0
2000-06-20,1.3686533661869322,-0.36865336618693223,-0.007409722280310513,1.008245537381455,0.006903948113287372,0.009897253610264528,0.0,0.0,0.0,0.0,0.0
2000-06-21,1.42661503955844,-0.42661503955844005,0.0024871104256983284,1.01075315536914,0.006623448907531026,0.009490765817469778,0.0,0.0,0.0,0.0,0.0
2000-06-22,1.2028453555699126,-0.20284535556991257,-0.023445848802670314,0.9870551897115333,0.007855633129791366,0.011252101018804417,0.0,0.0,0.0,0.0,0.0
2000-06-23,1.2100556150057744,-0.2100556150057744,-0.008694147401977811,0.9784735863982941,0.007808824411087576,0.011083033639133643,0.0,0.0,0.0,0.0,0.0
2000-06-26,1.162758624410601,-0.16275862441060096,0.013971570873082751,0.9921443994580973,0.00812646032190938,0.011306917273900059,0.0,0.0,0.0,0.0,0.0
2000-06-27,1.1834147649979616,-0.1834147649979616,-0.0064975237140852266,0.9856979176948215,0.00798461545749512,0.011057619972223601,0.0,0.0,0.0,0.0,0.0
2000-06-28,1.2083341120016151,-0.2083341120016151,0.005441569461921844,0.9910616613824297,0.007819949574690191,0.010797091661537833,0.0,0.0,0.0,0.0,0.0
2000-06-29,1.1621127842765842,-0.16211278427658415,-0.014659852199286729,0.9765328439061837,0.008130976573941365,0.011058904923946651,0.0,0.0,0.0,0.0,0.0
2000-06-30,1.1531044891498072,-0.15310448914980723,0.010675233131431549,0.986957559675382,0.008194497475417499,0.011038044583885171,0.0,0.0,0.0,0.0,0.0
2000-07-03,1.1258599347289675,-0.1258599347289675,0.01309808244493891,0.9998848111616659,0.008392795172612124,0.011156009908569532,0.0,0.0,0.0,0.0,0.0
2000-07-05,1.079440025519431,-0.07944002551943097,-0.01568440899584482,0.9842022088346734,0.008753716373157212,0.011426648648352812,0.0,0.0,0.0,0.0,0.0
2000-07-06,1.097543934044713,-0.09754393404471307,0.005332478507831796,0.9894504459606447,0.008609324449007187,0.011209497483218226,0.0,0.0,0.0,0.0,0.0
2000-07-07,1.0512445218732267,-0.0512445218732267,0.016212772542396923,1.0054921809829778,0.008988500418906519,0.011488516228569305,0.0,0.0,0.0,0.0,0.0
2000-07-10,1.0744837815930888,-0.07448378159308877,-0.00178519919531961,1.0036971771505867,0.00879409441734049,0.011237127729321806,0.0,0.0,0.0,0.0,0.0
2000-07-11,1.093619453407259,-0.09361945340725897,0.004078772853836442,1.0077910299502209,0.008640219224147134,0.011026875622844658,0.0,0.0,0.0,0.0,0.0
2000-07-12,1.107332677885309,-0.10733267788530898,0.005974764601213716,1.0138123441213882,0.00853321861978805,0.01086536741350787,0.0,0.0,0.0,0.0,0.0
2000-07-13,1.1264213482102097,-0.12642134821020967,0.0036947490171729967,1.0175581262834286,0.00838861216563814,0.010672698769626293,0.0,0.0,0.0,0.0,0.0
2000-07-14,1.1215186274688835,-0.12151862746888353,0.010448204250013297,1.0281897814230987,0.008425282999138457,0.01066415884093829,0.0,0.0,0.0,0.0,0.0
2000-07-17,1.1428621402775814,-0.14286214027758137,-0.0007181441782051665,1.0274513929174798,0.008267936693515505,0.010464820614491544,0.0,0.0,0.0,0.0,0.0
2000-07-18,1.1481119494264163,-0.14811194942641626,-0.008192317741551804,1.0190341846426998,0.00823013106862214,0.010391514473013572,0.0,0.0,0.0,0.0,0.0
2000-07-19,1.1421189211522422,-0.14211892115224223,-0.01080313907887813,1.0080254166198737,0.008273316946450563,0.010406192301797223,0.0,0.0,0.0,0.0,0.0
2000-07-20,1.1105774172826315,-0.11057741728263148,0.015486310690858903,1.0236360114059315,0.008508287381127227,0.01061882639142388,0.0,0.0,0.0,0.0,0.0
2000-07-21,1.0520456484884741,-0.05204564848847415,-0.019977277755803203,1.0031865504852326,0.00898165572834856,0.011055385686210204,0.0,0.0,0.0,0.0,0.0
2000-07-24,1.0568331434866,-0.05683314348660007,-0.008021219529579682,0.9951397709346688,0.008940968480660153,0.010970875506946445,0.0,0.0,0.0,0.0,0.0
2000-07-25,1.0669216119696843,-0.06692161196968427,0.005959369310486791,1.0010701763452217,0.00885642555106398,0.010849073397684787,0.0,0.0,0.0,0.0,0.0
2000-07-26,1.063905877537289,-0.06390587753728894,-0.01030216256818362,0.990756988646353,0.00888152986531414,0.010832782159046718,0.0,0.0,0.0,0.0,0.0
2000-07-27,1.0764714981472923,-0.07647149814729226,-0.004452253548498024,0.986345887327953,0.008777856024514799,0.010697848581646316,0.0,0.0,0.0,0.0,0.0
