Date,P10,P50,P90
2000-06-06,0.01852196810566644,0.09973763751430709,0.24978466752220319
2000-06-07,0.0482710888144597,0.12498183417444404,0.2293934791465432
2000-06-08,0.06630041550123052,0.1339003978762365,0.21723535087382798
2000-06-09,0.07797978214006562,0.1386155937588608,0.20943632711047958
2000-06-12,0.08479296695202304,0.14060865610162745,0.20332082162000115
2000-06-13,0.09066312572538565,0.14204696131652755,0.19875806414747668
2000-06-14,0.09485795465347611,0.1429445726658456,0.19623086247496094
2000-06-15,0.09828350881705808,0.14385132976317566,0.1934609365154512
2000-06-16,0.10170854922759036,0.14495325217417793,0.19105969330136824
2000-06-19,0.10433099186406086,0.14548703921617406,0.18907707815321817
2000-06-20,0.10611299375664168,0.14527982004084375,0.1870888643769462
2000-06-21,0.10792693301081643,0.14587372530972056,0.18559985099114504
2000-06-22,0.10983551838478119,0.14615022932307245,0.18492010752252014
2000-06-23,0.11184612771836769,0.14651302892180945,0.18327361824902666
2000-06-26,0.11288082128217942,0.14678623689687867,0.18223543603369327
2000-06-27,0.11390937942822368,0.14685716029200319,0.1813936554597162
2000-06-28,0.11497124688654953,0.147422023262043,0.18079505667108162
2000-06-29,0.11611430229982957,0.14738586470976023,0.1797582596884737
2000-06-30,0.11712825569720074,0.1472905807176957,0.17926550206390682
2000-07-03,0.11801098899034292,0.14734390057670732,0.17890503993848875
2000-07-05,0.11876361809952633,0.14760406608888746,0.17830661594405506
2000-07-06,0.11957089250610616,0.14768928502687956,0.17777953534912525
2000-07-07,0.12033023724425228,0.14777696662459003,0.17709961043179512
2000-07-10,0.12105748850161438,0.14797864547618877,0.17657783615855663
2000-07-11,0.12141248736711052,0.1477751990067511,0.1759227181018171
2000-07-12,0.12206332103724672,0.14794425847463566,0.17578231375051417
2000-07-13,0.12266274282342617,0.14797405156195703,0.1751125207621051
2000-07-14,0.12314514568409712,0.14815947298172572,0.17481519738949808
2000-07-17,0.12381640643971539,0.1483593301014121,0.17450626149395396
2000-07-18,0.12406247307844329,0.14826724317714557,0.1739870683910176
2000-07-19,0.12448101865683474,0.14825186870444518,0.17347401852756003
2000-07-20,0.12514484436362083,0.14823306739809566,0.1731686037541737
